jobpost,Title,Company,AboutC
"Union of Credit Organizations of RA
TITLE:  Executive Director
TERM:  Full time
START DATE/ TIME:  01 June 2015
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  UCORA is looking for a highly experienced and
self-motivated professional to fulfill the role of Executive Director.
JOB RESPONSIBILITIES:
- Manage the activities of the organization and its day-to-day office
work;
- Manage the staff and contribute to their professional development;
- Represent the organization officially to the Central Bank of RA, state
authorities, international and partner organizations;
- Cooperate with local and international partner organizations and state
authorities (Central Bank of Armenia, Ministry of Finance and Economy,
etc.);
- Organize, coordinate and manage activities with member organizations;
- Assess the needs of member organizations and work out an action plan to
satisfy them;
- Prepare and submit the documents, reports, proposals to the General
Meeting and implement General Meeting's decisions and instructions;
- Prepare proposals, concept papers and conduct fund raising for the
organization;
- Pursue and implement the goals of UCORA's strategic plan;
- Prepare Monthly and Quarterly industry reports;
- Conduct industry analysis and economic research of related fields;
- Perform other current duties according to the organization's charter.
REQUIRED QUALIFICATIONS:
- Master's degree in Finance, Accounting, Economics or other related
field;
- At least 5 years of work experience in banking, non-banking or other
financial areas;
- At least 1 year of managerial experience;
- CBA license for executive director is a plus;
- Knowledge of the Armenian Banking Legislation;
- Knowledge of Russian and English languages;
- Good interpersonal, communication and organizational skills;
- Strong analytical skills;
- Computer literacy.
APPLICATION PROCEDURES:  Interested candidates, who meet the requirements
above and are confident that their background and experience qualifies
them for the position, are asked to send a detailed CV to:director@... mentioning the position they are applying for in the
subject line of the email. The company will start the selection process
as soon as a sufficient number of qualified applications is received.
Therefore, early applications are welcomed. Only short-listed candidates
will be contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  17 April 2015
APPLICATION DEADLINE:  12 May 2015
ABOUT COMPANY:  The Union of Credit Organizations of the Republic of
Armenia (UCORA) was founded on July 25, 2008 by a decision of six
founding members and got state registration in September, 2008. During
2009-2015 seven credit organizations have joined the Union as well. The
main goal of the Union of credit organizations of the Republic of Armenia
is to represent and promote general problems and interests of members in
the Central Bank of RA, Government of RA and other state and non-state
bodies, as well as international institutions.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Executive Director,Union of Credit Organizations of RA,"The Union of Credit Organizations of the Republic of
Armenia (UCORA) was founded on July 25, 2008 by a decision of six
founding members and got state registration in September, 2008. During
2009-2015 seven credit organizations have joined the Union as well. The
main goal of the Union of credit organizations of the Republic of Armenia
is to represent and promote general problems and interests of members in
the Central Bank of RA, Government of RA and other state and non-state
bodies, as well as international institutions."
"Target Development CJSC


TITLE:  Administrative Assistant


TERM:  Full-time


START DATE/ TIME:  ASAP


DURATION:  Long-term with 3 months of probation period.


LOCATION:  Yerevan, Armenia


JOB DESCRIPTION:  ""Target Development"" CJSC is inviting qualified
professionals to fill the position of Administrative Assistant.


JOB RESPONSIBILITIES:
- Assist the Company owner and CEO with routine works;
- Communicate with foreign partners and transport organizations to order
goods and provide delivery;
- Complete high-level writing tasks in the Armenian, English and Russian
languages;
- Handle correspondence and answer phone calls;
- Schedule and organize meetings;
- Provide support during negotiations;
- Perform other duties and responsibilities assigned by the Company owner
and CEO.


REQUIRED QUALIFICATIONS:
- Bachelor's degree in Humanities or Economics;
- At least 2 years of work experience, preferably in supporting an
executive or director;
- Fluency in the Armenian, Russian and English languages (both verbal and
written);
- High level of computer literacy including MS Office, databases;
- Strong analytical and arithmetical skills;
- High sense of responsibility and accuracy;
- Excellent communication skills and self motivation;
- Team working skills.


APPLICATION PROCEDURES:  Please be sure that your application includes
the following:
a) Current Curriculum Vitae (CV) in the Armenian language;
b) Passport size photo;
c) Names and contact information of two referees.
Please, put the position you are applying for in the subject line of the
message and submit your applications to: ceo@... .
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.


OPENING DATE:  10 August 2015


APPLICATION DEADLINE:  31 August 2015


ABOUT COMPANY:  For more information about the Company, please visit:
www.targetdevelopment.am.


----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Administrative Assistant,Target Development CJSC,"For more information about the Company, please visit:
www.targetdevelopment.am."
"Macadmian AM
TITLE:  Quality Control Engineer
START DATE/ TIME:  ASAP
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Macadmian AM is seeking a Quality Control Engineer to
be responsible for automated testing, black box, and regression testing.
JOB RESPONSIBILITIES:
- Test multilingual Win32 application written in VB6 on Windows XP and
Vista (Home and Business Editions);
- Test J2EE portal (English only) and associated SOAP APIs;
- Be responsible for load testing of production application and database
servers to determine bottlenecks and provide clear insight into the
number of users that the company's current production servers can
support;
- Be responsible for security audit. The company's platform implements a
license key mechanism for client activations and an encryption mechanism
for content protection. The company is looking for insight into any
risks its platform and content face from piracy and copyright
violations;
- Be responsible for test planning and integration activities across
multiple engineering groups;
- Develop test plans and procedures;
- Design, develop, modify, and maintain the test process and functions;
- Execute specified tests; 
- Manage and improve methods of test planning, execution, tracking, and
reporting; 
- Identify and document encountered problems; 
- Interpret test results as required; 
- Generate test reports.
REQUIRED QUALIFICATIONS:
- 2 to 4 years of experience in testing software products;
- Highly motivated, passionate, adaptable personality, and eager to
learn new technologies and methods;
- Fluent in English language - reading/writing/speaking;
- Reading Korean and Chineese is plus;
- Good communication skills;
- Good team player, ability to accept criticism;
- Fast learner, responsible personality.
REMUNERATION/ SALARY:  Competitive, bonus program, insurance package.
APPLICATION PROCEDURES:  To apply, please send your resume and cover
letter to: careers-armenia@..., clearly mentioning the
position you are applying for in the subject line. Thank you.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  20 February 2008
APPLICATION DEADLINE:  19 March 2008
ABOUT COMPANY:  Macadamian is a company based in Ottawa, Canada with
several branches around the world. Macadamian is a software development
firm. Please read more about the company visiting: www.macadamian.com.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Quality Control Engineer,Macadmian AM,"Macadamian is a company based in Ottawa, Canada with
several branches around the world. Macadamian is a software development
firm. Please read more about the company visiting: www.macadamian.com."
"RVVZ Foundation
TITLE:  Head of HR
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  RVVZ Foundation is looking for a Head of HR who will be
responsible for strategic scope both at the head office and at the
individual projects level.
JOB RESPONSIBILITIES:
- Develop HR policy, short and long term strategy;
- Responsible for all human resource activities including employment,
compensation, labor relations, benefits, training and development; 
- Responsible for recruitment procedures (including forms and templates),
job applicants interview procedures; review applications/ resumes;
evaluate applicant skills and make recommendations regarding the
applicant's qualifications; 
- Provide on-the-job training to new employees;
- Develop and maintain relationship with employment agencies,
universities and other recruitment sources, organize internship
programs;
- Prepare and maintain company salary structure, job documentation and
job evaluation systems; complete annual need assessment and salary survey
questionnaires; 
- Prepare documentation for calculation of payrolls;
- Design and conduct new employee orientations, adaptation procedures; 
- Responsible for team building activities in compliance with the
organizations mission and vision;
- Administer and explain benefits to employees, serve as liaison between
employees and insurance carriers; 
- Perform difficult staffing duties, including dealing with
understaffing, refereeing disputes, firing employees, and administering
disciplinary procedures; resolve labor relation issues;
- Recommend, develop and schedule training and development courses
(including forms and templates, budgeting of training costs); 
- Provide advice, assistance and follow-up on company organization chart,
structure, policies, procedures and documentation; 
- Coordinate the resolution of specific policy-related and procedural
problems and inquiries; 
- Recommend, develop and maintain human resource data bases, computer
software systems and manual filing systems;
- Carry out personnel performance management, including staff motivation
and promotion procedures;
- Develop and recommend operating procedural improvements and policy
matters on equal employment opportunity, etc.;
- Perform other duties as assigned.
REQUIRED QUALIFICATIONS:
- University degree in the relevant fields (MBA, Psychology, Sociology,
Organizational Behavior or Management);
- Knowledge of relevant human resource disciplines and practical
experience of their application;
- At least 5 years of human resource experience in large organizations,
desirably in both business and non for profit;
- Knowledge of employment laws and benefits standards in Armenia and
internationally; 
- Capability of dealing with expat (foreign) workforce at all the
levels;
- Analytical thinking, ability to analyze data and provide
recommendations, ability to set priorities;
- Quick decision-maker;
- Ability to work on several projects with different HR standards and
policies; 
- Integrity and strong work ethics;
- Leading and team-building skills;
- Stress-resistant personality;
- Strong interpersonal and excellent communication skills and
flexibility;
- Creative and smart personality;
- Strong business acumen combined with positive attitude and insight
towards social projects;
- Advanced computer skills; experience in working with tailored software
solutions;
- Reporting, business writing and presentation skills;
- Fluency in Armenian, Russian and English languages.
APPLICATION PROCEDURES:  All the applicants are kindly asked to send
their CVs to: hr@... . Please clearly mention in the subject line the
position you are applying for.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  08 November 2013
APPLICATION DEADLINE:  20 November 2013
ABOUT COMPANY:  The Foundation focuses on the development and
implementation of large scale non-for-profit and innovative social
entrepreneurship projects.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Head of HR,RVVZ Foundation,"The Foundation focuses on the development and
implementation of large scale non-for-profit and innovative social
entrepreneurship projects."
"ArmenTel CJSC
TITLE:  Head of Sales Quality Control Group
ANNOUNCEMENT CODE:  HSQCG/08
OPEN TO/ ELIGIBILITY CRITERIA:  All interested candidates
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:
- Organize process of development and control of transparent business
processes of sales in the Company;
- Develop and control qualitative characteristics of transparent
business processes of the Company's sales;
- Prepare analytical reports and recommendations to improve business and
technological processes of the Company's sales;
- Prepare complex reports on quality key indicators of the sales
business processes.
REQUIRED QUALIFICATIONS:
- University degree in Technical field;
- At least 2 years of work experience in Information Technologies;
- Experience in IT field;
- Effective sales skills;
- Negotiation skills;
- Decision making skills;
- Team building skills;
- Excellent communication skills and ability to work with people in
conflict situations;
- Ability to work under stress;
- Initiative and excellent organizational skills;
- Advanced computer skills: experience in working with MS Office;
- Fluency in Armenian and Russian languages.
REMUNERATION/ SALARY:  Negotiable salary, full medical insurance,
professional training.
APPLICATION PROCEDURES:  Qualified and interested candidates are kindly
requested to submit CV/Resume in Russian and/or Armenian/English
languages to: 2 Aharonyan Str., Yerevan, 0014 or by e-mail:hrm@.... In the subject line of your e-mail message, please
mention the title of the position you are applying for.
Only short-listed candidates will be contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  29 August 2008
APPLICATION DEADLINE:  10 September 2008
ABOUT COMPANY:  For additional information about the company, please
visit its website: www.beeline.am.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Head of Sales Quality Control Group,ArmenTel CJSC,"For additional information about the company, please
visit its website: www.beeline.am."
"EPAM Systems, Inc.
TITLE:  Java Developer
TERM:  Full time
START DATE/ TIME:  ASAP
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  EPAM Systems, Inc. is seeking for Java Developers to
join the company's team in developing enterprise-level software
solutions. The company is looking for energetic people who are ready for
new challenges, teamwork, and agile software development.
JOB RESPONSIBILITIES:
- Develop enterprise-level software solutions according to technical
specifications;
- Participate in all cycles of software design and development;
- Contribute to the quality of coding and assure conformance of source
codes;
- Provide necessary technical and design documentation;
- Analyze requirements and work with team members to create quality
results;
- Communicate effectively with local management and external team
members;
- Participate in internal and external meetings.
REQUIRED QUALIFICATIONS:
- Bachelor's/ Masters degree in Computer Sciences or in a related
field;
- At least 2 years of experience in developing Java web-based
applications;
- Good Java and Spring/ Spring MVC development experience in a project
setting;
- Experience with JSP, AJAX, JQuery and JavaScript;
- Experience with XML, HTML, CSS, cross-browser compatibility;
- Experience with relational database (MS SQL Server, MySQL);
- Experience in data model and object design;
- Good understanding of OOP principles;
- Good analytical skills;
- Excellent communication and teamwork skills;
- Ability to work independently;
- Good knowledge of English language on both communication and technical
level.
REMUNERATION/ SALARY:  Competitive, to attract the right candidates.
APPLICATION PROCEDURES:  Interested candidates are asked to submit their
CVs in English language to: marine_melikyan@... , indicating the
position in the subject line of the e-mail. Only shortlisted candidates
will be contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  01 September 2014
APPLICATION DEADLINE:  30 September 2014
ABOUT COMPANY:  For information about the company, please visit:
www.epam.com.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Java Developer,"EPAM Systems, Inc.","For information about the company, please visit:
www.epam.com."
"Nikita Mobile LLC
TITLE:  Accountant
OPEN TO/ ELIGIBILITY CRITERIA:  All interested and qualified candidates.
START DATE/ TIME:  ASAP
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Nikita Mobile is looking for a motivated, proactive
candidate for the position of Accountant to make relevant records and
keep track of invoices.
JOB RESPONSIBILITIES:
- Implement cash inflows and outflows processing according to the RA
legislation and the companys internal procedures;
- Perform data entry of financial activities into the accounting
system;
- Prepare monthly, quarterly and annual reports;
- Prepare payment orders.
REQUIRED QUALIFICATIONS:
- University degree in Finance or Accounting; 
- Knowledge of Armenian Tax Law and Accounting Standards;
- Good knowledge of MS Excel, Windows and Word;
- Fluency in Armenian and Russian languages;
- Strong analytical skills.
APPLICATION PROCEDURES:  If interested, please submit your CVs to:info@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  09 February 2007
APPLICATION DEADLINE:  28 February 2007
ABOUT COMPANY:  Nikita Mobile LLC is SMS services provider.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Accountant,Nikita Mobile LLC,Nikita Mobile LLC is SMS services provider.
"Navavan LLC
TITLE:  Sales Person/ Cashier
TERM:  Full time
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The employee will interact with customers while they
consider purchases of clothing and possibly accessories. He/ she will be
responsible for helping increase the store's sales by providing customers
with all of the information and attention they need. The incumbent must
also handle inventory, prepare purchases for transportation by wrapping
or bagging them and set up displays and stock clothing racks or shelves.
He/ she will be responsible for cash and POS transactions.
JOB RESPONSIBILITIES:
- Be aware of customer activity and respond with a sense of urgency,
prioritizing assisting customers over other tasks;
- Responsible for cash and POS transactions;
- Greet and acknowledge customers while providing the appropriate level
of service;
- Effectively communicate value and quality of company's merchandise
while sharing its current promotions and offer solutions for out of stock
items when necessary;
- Provide fast, friendly and accurate service at the cash wrap; 
- Follow Company's standards of merchandise presentation, signage and
display; 
- Support in maintaining a clean, organized and efficient stockroom while
adhering to customer ready environment standards and safety
requirements;
- Perform daily housekeeping duties according to Company standard;
- Guarantee Company assets by ensuring adherence to all Loss Prevention
procedures;
- Proactively contribute to creating a team atmosphere that is flexible
and enjoyable;
- Contribute focused and well managed efforts towards achievement of
store goals.
REQUIRED QUALIFICATIONS:
- At least a complete high school education;
- At least 1 year of experience in a relevant field;
- Work experience with 1C program;
- Knowledge of Russian and English languages is a plus; 
- Pleasant manners.
REMUNERATION/ SALARY:  150,000 AMD
APPLICATION PROCEDURES:  Please apply to this job by sending your photo
and resume to the following email: new.vacant.positions@... .
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  07 June 2013
APPLICATION DEADLINE:  06 July 2013
ABOUT COMPANY:  Navavan LLC imports clothes from European countries and
distributes them in Armenia.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Sales Person/ Cashier,Navavan LLC,"Navavan LLC imports clothes from European countries and
distributes them in Armenia."
"SIMS
TITLE:  Finance Analyst
TERM:  Full-time
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The incumbent will evaluate and analyze companys
financial situation. He/ she will also prepare recommendations to help
the company invest, manage and spend company's financial resources.
JOB RESPONSIBILITIES:
- Analyze financial information to produce forecasts of business,
industry and economic conditions for use in making business decisions;
- Interpret data affecting marketing and business programs, such as
price, profit, stability, future trends in investment risks and economic
influences;
- Maintain knowledge and stay abreast of retail market developments;
- Perform specific tasks related to sales development and prepare
appropriate reports;
- Provide a design of cost accounting or reporting systems as well as
related forms and documents;
- Perform specialized financial or cost analyses (e.g., cash-flow,
""what-if"" scenario analysis, etc.) and prepare related reports;
- Assist in reviews of financial and internal controls to ensure meeting
management objectives, recommend and implement security and system
control procedures;
- Prepare weekly, monthly, quarterly and annual financial reports;
- Develop and maintain budgeting process as well as forecasts information
and accounting systems.
REQUIRED QUALIFICATIONS:
- MBA in Finance;
- At least 3 years of experience in reporting, consolidation and
financial analysis. Experience in retail industry is a plus;
- Knowledge of cost and financial accounting principles, practices and
procedures;
- Knowledge of principles and techniques used in conducting financial
management and analysis;
- Knowledge of internal control systems and procedures;
- Knowledge of Armenian Accounting Program (ArmSoft);
- Skills in performing different numerical and statistical calculations;
- Skills in preparing complex management reports on a timely basis;
- Strong initiative and ability to manage multiple projects;
- Ability to complete projects timely and accurately is critical;
- Ability to work well with others in fast paced and dynamic
environment;
- Detail oriented person with strong analytical skills.
REMUNERATION/ SALARY:  Competitive, based on experience
APPLICATION PROCEDURES:  Please send your CV-s to the following email
address: new.vacant.positions@... . Please indicate the title of
the position in the subject line of the e-mail, otherwise your CV will
not be considered. Please send your CVs only if you correspond to the
required qualifications.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  04 July  2012
APPLICATION DEADLINE:  03 August 2012
ABOUT COMPANY:  The store network chain is specialized in promoting and
trading of clothes for children and adults. The company has
well-developed retail network chain in Yerevan, and is planning to widen
its existence into the regions of Armenia.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Finance Analyst,SIMS,"The store network chain is specialized in promoting and
trading of clothes for children and adults. The company has
well-developed retail network chain in Yerevan, and is planning to widen
its existence into the regions of Armenia."
"""Essence Development"" LLC
TITLE:  IT Platform Manager
TERM:  Full time
START DATE/ TIME:  ASAP
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  In this role the incumbent will take responsibility
for improving the performance, increasing the uptime, and lowering the
support costs of the company's High Performance Computing (HPC)
environment. He/she will ensure the matching of the company's business
demands and the demands of finance and technology. Furthermore the hired
employee will take care of the availability and contingency of the
company's environment and will be a part of the development team for new
features and for the company's fast developing product.
JOB RESPONSIBILITIES:
- Develop Data Centre Architecture;
- Define, implement and monitor hardware and software technologies;
- Be responsible for Master Data architecture including Master Data
repositories and data synchronization between systems;
- Help design corporate frameworks for measuring and reporting product
availability and contingency;
- Work closely with management team to deliver scalable and reliable
systems.
REQUIRED QUALIFICATIONS:
- University studies in IT with focus on operations/development or a
similar education;
- Minimum of 5 years direct experience of developing High Performance
Computing;
- Sound knowledge and experience across a broad range of infrastructure
with a strong business focus fostered in a media environment;
- Experience of managing technical teams and competing business
priorities;
- Knowledge about Business Continuity Planning for Infrastructure and
network (LAN/WAN) skills/experience;
- Strong understanding of system development issues in a multinational
business environment and a web application environment;
- Strong project management skills;
- Very good English (English is the company language);
- Willingness to travel with extended stays in foreign countries.
REMUNERATION/ SALARY:  Attractive+bonus+medical insurance+benefits.
APPLICATION PROCEDURES:  Please send your application to:jobs@... referring to the job title above.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  29 August 2008
APPLICATION DEADLINE:  28 September 2008
ABOUT COMPANY:  Essence Development LLC is an IT company that works in
partnership with be2 presented in more than 30 countries on 5
continents. For information about the company, please visit www.be2.am,
and for more information about the product, look www.be2.com.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",IT Platform Manager,"""Essence Development"" LLC","Essence Development LLC is an IT company that works in
partnership with be2 presented in more than 30 countries on 5
continents. For information about the company, please visit www.be2.am,
and for more information about the product, look www.be2.com."
"VTB Bank (Armenia) CJSC
TITLE:  Jeweler in Tsaghkahovit Branch
OPEN TO/ ELIGIBILITY CRITERIA:  All qualified candidates
START DATE/ TIME:  ASAP
DURATION:  Long-term, with 3 months probation period
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  VTB Bank (Armenia) CJSC is looking for a skilled and
motivated professional to fill in the position of Jeweler in Tsaghkahovit
branch.
JOB RESPONSIBILITIES:
- Implement a professional inspection of pledged gold products, identify
the proof and weight;
- Receive and deliver pledged gold products;
- Participate in the verification of the current status of pledged gold
products;
- Deliver customer service in accordance with the Bank standards and
regulations;
- Perform other functions related to the work if necessary.
REQUIRED QUALIFICATIONS:
- Professional education;
- Certificate of qualification is desirable;
- Customer service skills;
- Developed communication and teamwork skills;
- Ability to work under pressure;
- Good knowledge of Armenian language, knowledge of Russian language is
desirable.
APPLICATION PROCEDURES:  Interested and qualified candidates are
encouraged to submit their CVs to: hr@... . Please note ""Jeweler in
Tsaghkahovit branch"" in the subject line of your message. Only
short-listed candidates will be contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  04 September 2012
APPLICATION DEADLINE:  03 October 2012
ABOUT COMPANY:  VTB Bank (Armenia) CJSC is a member of international
financial Group VTB since April 2004. Currently Russia VTB Bank OJSC owns
100% of the shares of VTB Bank (Armenia). Now the Bank has a network of
68 branches in Armenia. For more information, please visit: www.vtb.am.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Jeweler in Tsaghkahovit Branch,VTB Bank (Armenia) CJSC,"VTB Bank (Armenia) CJSC is a member of international
financial Group VTB since April 2004. Currently Russia VTB Bank OJSC owns
100% of the shares of VTB Bank (Armenia). Now the Bank has a network of
68 branches in Armenia. For more information, please visit: www.vtb.am."
"Mdecins Sans Frontires- France, Armenian Branch
TITLE:  Nurses
START DATE/ TIME:  01 June 2008
DURATION:  6 months (including probation period) with possible
extension.
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Nursing support within the Medecins Sans Frontieres
(MSF) Drug Resistant Tuberculosis (DR TB) program at the DR TB
Department at Polyclinics, homes and other facilities as needed in
Yerevan with traveling to Abovian, Armenia. The position involves
educational and supervisory support in relation to the MoH nurse within
the DR TB program.
JOB RESPONSIBILITIES:
- Be responsible for support, education and supervision of nurses;
- Support, educate and monitor patients;
- Daily communicate with MSF and MOH staff;
- Collect statistics;
- Work 5 days per week (Monday through Friday) and every other Saturday.
REQUIRED QUALIFICATIONS:
- Recognized Nursing degree;       
- Flexible team player with an active and constructive approach in the
care for the DR TB patient;
- Good and clear communication skills in the Armenian language and basic
knowledge of English (including writing);
- Willingness to travel daily to Abovyan Hospital (Republican TB
Dispensary);
- Interest in ongoing education and patient advocacy;
- Flexible work schedule to meet the needs of the program and direct
patient care.
REMUNERATION/ SALARY:  Competitive, plus benefits.
APPLICATION PROCEDURES:  Please email a CV that includes relevant
qualifications, experience and professional references, and a motivation
letter to: msff-erevan@..., or bring a hard copy to the MSF
office in Yerevan: 53b Aygedzor Str., attention P. Wilcox. If by email,
please indicate in the Subject line which position you are applying for.
Applicants under consideration will be contacted for an interview.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  25 April 2008
APPLICATION DEADLINE:  08 May 2008
ABOUT COMPANY:  Medecins Sans Frontieres (MSF) is an international NGO,
which provides medical humanitarian assistance to victims of natural or
man-made disasters. MSF observes strict neutrality with respect to
political issues and renders its assistance without making any
discrimination on the basis of race, religious, ideology or political
opinion. MSF has no ties or affiliation with any political, economic or
religious body or organization, in order to act in accordance with
humanitarian principles.
In Armenia, MSF manages DR TB patients from Yerevan.
ADDITIONAL NOTES:  The job location may include the Drug Resistant TB
Department at Abovyan Republican TB Hospital, TB Cabinets in the
Polyclinics, home based care with visits to the patients home
addresses, health institutes related to the patients care, prisons and
the MSF office in Yerevan.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Nurses,"Mdecins Sans Frontires- France, Armenian Branch","Medecins Sans Frontieres (MSF) is an international NGO,
which provides medical humanitarian assistance to victims of natural or
man-made disasters. MSF observes strict neutrality with respect to
political issues and renders its assistance without making any
discrimination on the basis of race, religious, ideology or political
opinion. MSF has no ties or affiliation with any political, economic or
religious body or organization, in order to act in accordance with
humanitarian principles.
In Armenia, MSF manages DR TB patients from Yerevan."
"""OMD"" LLC
TITLE:  Client Support Engineer
TERM:  Full time
START DATE/ TIME:  ASAP
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  ""OMD"" LLC is looking for a qualified Client Support
Engineer. His/her tasks range from installation and configuration of
company products to assistance in the development of client-specific
solutions (application engineering), in-house development tasks,
documentation, etc.
JOB RESPONSIBILITIES:
- Respond to customer questions, reproduce and  be responsible for
initial investigation of issues;
- Communicate client requests and problems to development and
management;
- Develop customer-specific solutions, assist customers in product
deployment and related tasks;
- Participate in internal tasks, such as development of test setups, use
cases, internal utilities, etc.;
- Create and improve product documentation.
REQUIRED QUALIFICATIONS:
- Solid technical background and experience in a related area
(application engineering, technical support, quality assurance,
development);
- Advanced Windows and Unix/Linux user skills. For Unix/Linux, this
includes good knowledge of OS architecture and tools, scripting skills
and experience (Shell and Perl);
- Knowledge of other programming languages (Java, C# or C++) is a plus;
- Good English language speaking, reading, writing skills; ability to
communicate comfortably with overseas customers;
- Ability to work under time pressure, multitask, investigate problems
with incomplete information.
REMUNERATION/ SALARY:  Highly competitive
APPLICATION PROCEDURES:  Send your resume or CV to:jobs_am1@.... Please mention ""Client Support Engineer"" in the
subject line of your email message, otherwise the message may be
filtered by the spam filters. Only short-listed candidates will be
contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  26 January 2010
APPLICATION DEADLINE:  25 February 2010
ABOUT COMPANY:  OMD LLC is a wholly owned subsidiary of OneMarketData
LLC, New York-based producer of enterprise market data solutions for
financial institutions (www.onetick.com).
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Client Support Engineer,"""OMD"" LLC","OMD LLC is a wholly owned subsidiary of OneMarketData
LLC, New York-based producer of enterprise market data solutions for
financial institutions (www.onetick.com)."
